Cohort,AAC(3),AAC(6'),AAC(6');APH(2''),ABC-F ATP-binding cassette ribosomal protection protein,ACC beta-lactamase,ACI beta-lactamase,ACT beta-lactamase,ADC beta-lactamase without carbapenemase activity,ANT(2''),ANT(3''),ANT(4'),ANT(6),APH(2''),APH(3''),APH(3'),APH(6),ATP-binding cassette (ABC) antibiotic efflux pump,ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump,ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,BUT beta-lactamase,CMY beta-lactamase,CTX-M beta-lactamase,CblA beta-lactamase,CfxA beta-lactamase,DHA beta-lactamase,Erm 23S ribosomal RNA methyltransferase,General Bacterial Porin with reduced permeability to beta-lactams,General Bacterial Porin with reduced permeability to beta-lactams;resistance-nodulation-cell division (RND) antibiotic efflux pump,HERA beta-lactamase,L1 family beta-lactamase,LEN beta-lactamase,MCR phosphoethanolamine transferase,MIR beta-lactamase,MOX beta-lactamase,NDM beta-lactamase,OKP beta-lactamase,OXA beta-lactamase,OXY beta-lactamase,PDC beta-lactamase,SHV beta-lactamase,SRT beta-lactamase,TEM beta-lactamase,aminocoumarin resistant parY,ampC-type beta-lactamase,antibiotic resistant isoleucyl-tRNA synthetase (ileS),blaZ beta-lactamase,cepA beta-lactamase,chloramphenicol acetyltransferase (CAT),ciprofloxacin phosphotransferase,defensin resistant mprF,fosfomycin thiol transferase,fusidic acid inactivation enzyme,glycopeptide resistance gene cluster;van ligase,glycopeptide resistance gene cluster;vanH,glycopeptide resistance gene cluster;vanR,glycopeptide resistance gene cluster;vanS,glycopeptide resistance gene cluster;vanT,glycopeptide resistance gene cluster;vanX,glycopeptide resistance gene cluster;vanXY,kdpDE,lincosamide nucleotidyltransferase (LNU),macrolide phosphotransferase (MPH),major facilitator superfamily (MFS) antibiotic efflux pump,major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump,methicillin resistant PBP2,multidrug and toxic compound extrusion (MATE) transporter,non-erm 23S ribosomal RNA methyltransferase (G748),pmr phosphoethanolamine transferase,quinolone resistance protein (qnr),resistance-nodulation-cell division (RND) antibiotic efflux pump,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),small multidrug resistance (SMR) antibiotic efflux pump,streptothricin acetyltransferase (SAT),sulfonamide resistant sul,tetracycline-resistant ribosomal protection protein,trimethoprim resistant dihydrofolate reductase dfr,undecaprenyl pyrophosphate related proteins
Antibiotic,0.0,0.0,7.092205581113678,29.54202331554297,0.0,0.0,0.0,0.0,0.0,0.0,6.5125200358086275,0.0,0.0,0.0,0.0,0.0,0.0,6.102740260711203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.630976332496317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.278571485915625,9.084253780120637,0.0,0.0,0.0,0.0,0.0,6.5125200358086275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.82175086007927,33.15906432660458,0.0,23.080759114847105,0.0,0.0,0.0,0.0,12.62044165289879,0.0,0.0,0.0,0.0,0.0,12.96693942099569,0.0
Control,0.0,0.0,0.0,17.520023667314895,0.0,0.0,2.7750933761924195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.753619498485858,4.300464245067698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7853685209003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6640461643624398,0.0,1.1170570889889977,1.1170570889889977,4.462231116185545,0.0,0.0,0.0,0.0,0.6640461643624398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.878925462145977,37.685063783380784,0.0,9.928493535349924,12.016501972401732,0.0,0.0,0.0,3.0121772245887115,0.0,0.0,0.0,0.0,12.922847037401992,12.43773226040271,0.6640461643624398
Control,0.0,0.0,1.3832286377202905,5.175742808801009,0.0,0.0,0.0,0.0,0.0,0.0,0.6809481709500899,0.0,0.0,0.0,0.0,0.0,9.603478792002662,5.607412704468721,0.0,0.0,0.0,0.0,0.0,0.26431345420147623,0.0,19.928024490467536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8514051855038013,6.5789504640989485,0.0,0.0,0.0,10.328903039616009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.144726870992336,0.26431345420147623,48.88331616746241,0.0,11.382637615240142,12.538103938136059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.520379383632841,2.7720685491640844,0.0
Control,0.0,0.0,0.0,24.320570404031383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.99428799079854,3.9114833058492087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.622139166811774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.966100909791957,2.903734890619893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.512077952580433,36.91989787361321,0.0,10.678443203616194,15.911649587884865,0.0,0.0,0.0,0.0,1.6604742405515165,0.0,0.0,0.0,13.805428004318037,12.978352799951498,0.0
Antibiotic,0.0,0.0,0.5122156861784781,29.10924761975511,0.0,0.0,4.368807905207259,0.0,0.0,0.0,2.8006089991133054,0.0,0.0,0.5122156861784781,0.0,0.5122156861784781,19.325533495840695,2.8006089991133054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.158928876210571,0.0,0.5122156861784781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.748994253342858,4.533838917988967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5122156861784781,0.0,0.0,0.0,0.0,0.0,0.0,7.0750942710505145,20.43092581459105,0.5122156861784781,10.729443394674256,8.928780734292063,0.0,0.0,0.0,14.051918061257131,0.0,0.0,0.0,0.0,10.915923245566315,12.231856012456662,0.0
Antibiotic,0.0,0.0,4.734507813444833,8.48420474053529,0.0,0.0,0.0,0.0,0.0,0.0,4.337422590676376,10.552244841887925,0.0,0.0,10.725701467913805,2.071302569922908,0.0,6.282881363032497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.58837971096852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.888561879531604,0.0,17.336099845289443,5.792990957851889,0.0,0.0,0.0,0.0,0.0,2.888561879531604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.327624266639646,43.30708182706951,0.0,15.70447511663092,3.787708058325728,0.0,0.0,0.0,2.071302569922908,11.14242189571477,0.0,6.939003908694327,0.0,0.0,14.19779523959326,0.0
Control,0.0,4.458345020073164,0.0,26.110608997550337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.693092350911193,3.6375535370335443,0.0,0.0,0.0,0.0,0.0,1.5398214327718134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6375535370335443,0.0,0.0,1.5398214327718134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.866258842482122,0.0,8.5039994502175,5.547882965574722,0.0,0.0,0.0,0.0,6.3866061950390645,0.0,0.0,0.0,0.0,10.206114582891711,0.0
Control,0.0,0.0,1.8399029877788105,21.16114806296184,0.0,0.0,38.42807508741607,0.0,0.0,0.0,6.089081747377982,0.0,0.0,0.0,1.1953033568164262,0.0,5.52003699241584,3.656424060775201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0352063445952364,2.2838593614126057,1.8399029877788105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.324687560219427,5.310990542419544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1953033568164262,0.0,7.524894486538724,46.3582916829314,3.127563727824061,11.986985127038611,1.1953033568164262,0.0,0.0,0.0,51.15938095070907,3.0352063445952364,0.0,0.0,0.0,3.0352063445952364,6.384662989039053,1.8399029877788105
Control,0.0,0.0,0.0,12.02191858772845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.870438360978946,0.0,0.0,6.966000456730328,0.0,14.254956689953215,1.8567708097130584,0.6082340352108172,0.0,0.0,0.0,0.0,0.0,0.0,7.434555043289719,0.6082340352108172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6082340352108172,0.0,13.245788285312962,1.0347680300152788,0.0,0.6082340352108172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.111076992893778,10.918831587100687,0.0,3.2506863156642054,6.477319078701643,0.0,2.377161735714269,0.0,12.993253728838686,11.520357657419854,0.0,5.606432780694144,0.0,6.836286385500468,8.022363874098106,0.0
Control,0.0,0.30565096282246523,1.4069901414278392,17.22107696019994,0.0,0.0,0.0,0.0,0.0,0.0,0.30565096282246523,0.0,0.0,0.0,0.0,0.0,18.358764559134876,3.3171731657343946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.500796135945883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9589575664558634,0.0,2.834990505717061,4.5052437556769975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30565096282246523,0.0,0.0,0.0,0.0,0.0,0.0,5.653032085595834,23.55233440764059,0.0,11.340617234443155,10.041646568683651,0.0,0.0,0.0,0.30565096282246523,4.457366496415485,0.0,0.0,1.1242493799436966,19.749450348144187,12.666688194597134,0.0
